Sentences,POS tags
समय के साथ उन्होंने Pencil Slate Manufacturing Machinery ले ली और उसके बाद उन्होंने देश की बड़ी-बड़ी कंपनियों को Pencil Slate की Supply शुरू कर दी।,"[{'word': 'Pencil Slate की Supply', 'label': 'propn'}, {'word': 'शुरू कर दी।', 'label': 'verb'}, {'word': 'ले ली', 'label': 'verb'}, {'word': 'और ', 'label': 'conj'}, {'word': 'की', 'label': 'det'}, {'word': 'उसके बाद उन्होंने', 'label': 'verb'}, {'word': 'ड़ी-बड़ी', 'label': 'adj'}, {'word': 'कंपनियों को', 'label': 'propn'}, {'word': 'समय के साथ', 'label': 'adv'}, {'word': 'उन्होंने', 'label': 'propn'}]"
इसके साथ-साथ गंगाजी को असम के पांडु में ब्रह्मापुत्र से जोड़ने वाले inland waterway-2 पर भी cargo transportation शुरू हो चुका है।,"[{'word': 'inland waterway-2 ', 'label': 'propn'}, {'word': 'cargo transportation', 'label': 'propn'}, {'word': 'रू हो चुका है।', 'label': 'verb'}, {'word': 'इसके साथ-साथ', 'label': 'adv'}, {'word': 'गंगाजी को असम', 'label': 'noun'}, {'word': 'के', 'label': 'det'}, {'word': 'से ', 'label': 'det'}, {'word': 'जोड़ने वाले', 'label': 'adj'}, {'word': 'र भी', 'label': 'conj'}]"
"भाइयों और बहनों, स्टार्ट अप्स के इको सिस्टम में Alternate Investment Funds द्वारा किए गए निवेश महत्वपूर्ण हैं।","[{'word': 'Alternate Investment Funds', 'label': 'propn'}, {'word': 'इयों ', 'label': 'noun'}, {'word': 'भाइयों और बहनों', 'label': 'noun'}, {'word': 'स्टार्ट अप्स', 'label': 'propn'}, {'word': ' के इ', 'label': 'det'}, {'word': 'किए गए निवेश महत्वपूर्ण हैं।', 'label': 'verb'}, {'word': 'द्वारा ', 'label': 'det'}]"
अहमदाबाद में ज़ेन गार्डन और काईज़ेन Academy की स्थापना में उनका और ह्योगो International Association का बहुमूल्य योगदान रहा है।,"[{'word': 'में ', 'label': 'adp'}, {'word': 'योगदान रहा है।', 'label': 'verb'}, {'word': 'का बहुमूल्य ', 'label': 'adv'}, {'word': 'की स्थापना में', 'label': 'verb'}, {'word': 'उनका और', 'label': 'adj'}, {'word': ' और', 'label': 'conj'}]"
मैं Indo-Japan Friendship Association of Gujarat के साथियों को भी बधाई देता हूं।,"[{'word': 'मैं', 'label': 'propn'}, {'word': 'साथियों ', 'label': 'adj'}, {'word': 'के', 'label': 'det'}, {'word': 'को भी ', 'label': 'det'}, {'word': 'बधाई देता हूं।', 'label': 'verb'}]"
"मैं चाहूँगा कि काईज़ेन Academy जापान के वर्क-कल्चर का भारत में प्रचार-प्रसार करे, जापान और भारत के बीच business interactions बढाए।","[{'word': 'मैं', 'label': 'propn'}, {'word': ' चाहूँगा कि', 'label': 'adj'}, {'word': 'business interaction', 'label': 'noun'}, {'word': ' के बीच', 'label': 'adj'}, {'word': 'बढाए।', 'label': 'verb'}, {'word': 'में प्रचार-प्रसार करे, ', 'label': 'verb'}, {'word': 'के वर्क-कल्चर का ', 'label': 'adj'}]"
जैसे गुजरात यूनिवर्सिटी और ओसाका के ओतेमोन गाकुइन University के बीच Indo-Japan Student Exchange Program है।,"[{'word': 'जैसे ', 'label': 'adj'}, {'word': 'और ', 'label': 'conj'}, {'word': ' के', 'label': 'conj'}, {'word': 'के ', 'label': 'conj'}, {'word': 'बीच', 'label': 'adj'}, {'word': ' है', 'label': 'verb'}]"
"ICT क्षेत्र,विशेषकर JAM यानि Jandhan-Aadhaar-Mobile trinity तथा digital payment infrastructure में भारत की सफलता, हम अर्जेंटीनाके साथ साझा करने के लिए तैयार हैं।","[{'word': 'ICT क्षेत्र', 'label': 'propn'}, {'word': 'Jandhan-Aadhaar-Mobile trinity', 'label': 'propn'}, {'word': 'JAM', 'label': 'propn'}, {'word': 'विशेषकर', 'label': 'adj'}, {'word': 'तथा', 'label': 'conj'}, {'word': 'में ', 'label': 'conj'}, {'word': 'यानि ', 'label': 'conj'}, {'word': 'की सफलता,', 'label': 'adv'}, {'word': 'म ', 'label': 'propn'}, {'word': ' साथ', 'label': 'adj'}, {'word': ' साझा करने के लिए तैयार हैं।', 'label': 'verb'}]"
"अर्जेंटीना ने Missile Technology Control Regime, Wassenaar Arrangement और Australia Group व Nuclear Suppliers Group में भारत की सदस्यता का पुरजोर समर्थन किया है।","[{'word': ' ने ', 'label': 'det'}, {'word': 'की स', 'label': 'det'}, {'word': 'और', 'label': 'conj'}, {'word': 'व', 'label': 'conj'}, {'word': 'में', 'label': 'conj'}, {'word': 'दस्यता ', 'label': 'noun'}, {'word': 'का पुरजोर समर्थन किया है।', 'label': 'verb'}]"
International Solar Alliance (ISA) में नए सदस्य के रूप में अर्जंटीना का स्वागत करते हुए मुझे बहुत प्रसन्नता हो रही है।,"[{'word': 'बहुत प्रसन्नता हो रही है।', 'label': 'verb'}, {'word': 'मुझे', 'label': 'propn'}, {'word': 'का', 'label': 'adv'}, {'word': 'स्वागत करते हुए', 'label': 'verb'}, {'word': 'में नए सदस्य के रूप में', 'label': 'adj'}]"
